DATE;SP500;NASDAQ,AAPL;NASDAQ,AMZN;NASDAQ,GOOGL
1491240240;2353,21;143,53;888,5864;852,2897
1491240300;2352,8401;143,6;888,83;852,65
1491240360;2352,4399;143,57;888,88;852,55
1491240420;2352,6201;143,559;888,521;852,55
1491240480;2352,8601;143,55;889,1717;852,8
1491240540;2352,8799;143,63;889,24;853,03
1491240600;2352,9099;143,64;889,04;853,15
1491240660;2352,02;143,61;889,12;852,935
1491240720;2352,1399;143,5754;888,71;852,71
1491240780;2352,03;143,59;888,84;852,8
1491240840;2352,48;143,559;888,8;852,91
1491240900;2352,1899;143,6;888,9635;853,11
1491240960;2351,8301;143,59;888,94;853,1
1491241020;2351,6499;143,54;888,92;853,005
1491241080;2350,97;143,53;888,99;853,03
1491241140;2351,29;143,5;888,669;852,59
1491241200;2350,8501;143,5;888,53;852,682
1491241260;2350,52;143,4859;888,45;852,52
1491241320;2351,0801;143,45;888,3139;852,08
1491241380;2351,1699;143,48;888,7097;852,61
1491241440;2350,5801;143,49;888,64;852,56
1491241500;2350,0801;143,4535;888,48;852,51
1491241560;2351,1499;143,4199;888,3;852,34
1491241620;2352,1001;143,5;888,83;852,67
1491241680;2351,99;143,54;889,26;853,401
1491241740;2351,6699;143,52;888,92;853,245
1491241800;2351,6399;143,46;889,11;853,61
1491241860;2351,7;143,47;889,32;853,58
1491241920;2352,1699;143,5;889,4;853,47
1491241980;2352,23;143,52;889,497;853,64
1491242040;2352,01;143,48;889,674;853,79
1491242100;2352,3501;143,47;889,07;853,62
1491242160;2352,3899;143,53;889,57;854,12
1491242220;2352,28;143,51;889,5277;854,275
1491242280;2352,3799;143,51;889,5163;853,91
1491242340;2352,6499;143,49;889,37;854,03
1491242400;2353,27;143,52;889,4092;854,2
1491242460;2352,53;143,5284;889,435;854,37
1491242520;2352,4199;143,4948;889,3552;853,93
1491242580;2352,6001;143,51;889,18;853,76
1491242640;2352,5801;143,505;889,25;853,71
1491242700;2352,3301;143,515;889,185;853,99
1491242760;2351,97;143,5;889,1566;853,795
1491242820;2352,1001;143,49;888,97;853,6
1491242880;2351,79;143,505;889,05;853,5186
1491242940;2352,3701;143,485;888,9975;853,5043
1491243000;2352,04;143,52;889,04;853,57
1491243060;2351,4399;143,49;889,0214;853,33
1491243120;2352,1001;143,45;888,71;853,61
1491243180;2352,47;143,48;888,97;853,59
1491243240;2352,6899;143,51;889;853,916
1491243300;2351,8301;143,52;889,2025;853,91
1491243360;2352;143,4552;888,97;853,67
1491243420;2350,73;143,45;889,04;853,8
1491243480;2350,72;143,38;888,4;853,76
1491243540;2351,03;143,38;888,4;853,61
1491243600;2350,9099;143,42;888,65;853,78
1491243660;2350,79;143,39;888,13;853,69
1491243720;2350,71;143,4;888,44;853,39
1491243780;2351,01;143,4;888,19;853,53
1491243840;2351,47;143,4439;888,175;853,55
1491243900;2351,8401;143,47;888,26;853,64
1491243960;2351,8501;143,505;888,05;853,895
1491244020;2352,1001;143,48;888,4;854,14
1491244080;2353,29;143,5134;888,34;854,44
1491244140;2353,6001;143,59;889,2;854,8601
1491244200;2353,8201;143,6063;889,5;854,875
1491244260;2353,48;143,6409;889,502;854,79
1491244320;2353,95;143,61;889,4;854,69
1491244380;2353,52;143,6308;889,6;854,84
1491244440;2353,6001;143,61;889,5;854,935
1491244500;2354,21;143,6;889,5447;855,175
1491244560;2354,0701;143,65;889,64;855,21
1491244620;2353,6499;143,62;889,77;855,5
1491244680;2354,21;143,58;889,53;855,05
1491244740;2354,0801;143,6;889,75;855,09
1491244800;2356,0801;143,5786;889,65;855,28
